,segmentation,area,iscrowd,image_id,bbox,category_id,id,ignore
1219,"[[155, 252, 155, 291, 167, 291, 167, 252]]",468,0,1622,"[155, 252, 12, 39]",15,1220,1
1220,"[[138, 251, 138, 291, 153, 291, 153, 251]]",600,0,1622,"[138, 251, 15, 40]",15,1221,0
1221,"[[0, 246, 0, 418, 149, 418, 149, 246]]",25628,0,1622,"[0, 246, 149, 172]",7,1222,0
1222,"[[2, 349, 2, 473, 57, 473, 57, 349]]",6820,0,1622,"[2, 349, 55, 124]",7,1223,1
1223,"[[194, 264, 194, 298, 205, 298, 205, 264]]",374,0,1622,"[194, 264, 11, 34]",7,1224,1
1224,"[[103, 6, 103, 475, 280, 475, 280, 6]]",83013,0,1627,"[103, 6, 177, 469]",15,1225,0
1225,"[[25, 13, 25, 114, 54, 114, 54, 13]]",2929,0,1630,"[25, 13, 29, 101]",15,1226,0
1226,"[[189, 26, 189, 214, 268, 214, 268, 26]]",14852,0,1630,"[189, 26, 79, 188]",15,1227,0
1227,"[[73, 94, 73, 358, 200, 358, 200, 94]]",33528,0,1630,"[73, 94, 127, 264]",15,1228,0
1228,"[[154, 195, 154, 500, 343, 500, 343, 195]]",57645,0,1630,"[154, 195, 189, 305]",15,1229,0
1229,"[[332, 31, 332, 255, 373, 255, 373, 31]]",9184,0,1630,"[332, 31, 41, 224]",15,1230,0
1230,"[[84, 230, 84, 428, 200, 428, 200, 230]]",22968,0,1630,"[84, 230, 116, 198]",2,1231,0
1231,"[[148, 357, 148, 500, 340, 500, 340, 357]]",27456,0,1630,"[148, 357, 192, 143]",2,1232,0
1232,"[[70, 176, 70, 373, 419, 373, 419, 176]]",68753,0,1633,"[70, 176, 349, 197]",11,1233,0
1233,"[[205, 209, 205, 374, 388, 374, 388, 209]]",30195,0,1633,"[205, 209, 183, 165]",9,1234,0
1234,"[[115, 164, 115, 364, 263, 364, 263, 164]]",29600,0,1633,"[115, 164, 148, 200]",9,1235,0
1235,"[[58, 122, 58, 216, 121, 216, 121, 122]]",5922,0,1636,"[58, 122, 63, 94]",2,1236,0
1236,"[[0, 0, 0, 326, 486, 326, 486, 0]]",158436,0,1643,"[0, 0, 486, 326]",18,1237,1
1237,"[[0, 41, 0, 323, 472, 323, 472, 41]]",133104,0,1643,"[0, 41, 472, 282]",12,1238,0
1238,"[[97, 273, 97, 500, 202, 500, 202, 273]]",23835,0,1649,"[97, 273, 105, 227]",9,1239,1
1239,"[[11, 52, 11, 499, 438, 499, 438, 52]]",190869,0,1649,"[11, 52, 427, 447]",15,1240,0
1240,"[[108, 145, 108, 192, 161, 192, 161, 145]]",2491,0,1650,"[108, 145, 53, 47]",20,1241,0
1241,"[[379, 203, 379, 333, 500, 333, 500, 203]]",15730,0,1650,"[379, 203, 121, 130]",18,1242,0
1242,"[[308, 170, 308, 272, 450, 272, 450, 170]]",14484,0,1650,"[308, 170, 142, 102]",9,1243,0
1243,"[[62, 120, 62, 500, 342, 500, 342, 120]]",106400,0,1651,"[62, 120, 280, 380]",15,1244,0
1244,"[[240, 273, 240, 500, 364, 500, 364, 273]]",28148,0,1651,"[240, 273, 124, 227]",9,1245,0
1245,"[[0, 134, 0, 261, 32, 261, 32, 134]]",4064,0,1654,"[0, 134, 32, 127]",2,1246,1
1246,"[[27, 168, 27, 248, 86, 248, 86, 168]]",4720,0,1654,"[27, 168, 59, 80]",2,1247,0
1247,"[[110, 180, 110, 261, 179, 261, 179, 180]]",5589,0,1654,"[110, 180, 69, 81]",2,1248,1
1248,"[[136, 163, 136, 303, 303, 303, 303, 163]]",23380,0,1654,"[136, 163, 167, 140]",2,1249,0
1249,"[[252, 186, 252, 316, 433, 316, 433, 186]]",23530,0,1654,"[252, 186, 181, 130]",2,1250,0
1250,"[[273, 99, 273, 275, 402, 275, 402, 99]]",22704,0,1654,"[273, 99, 129, 176]",15,1251,0
1251,"[[144, 65, 144, 266, 284, 266, 284, 65]]",28140,0,1654,"[144, 65, 140, 201]",15,1252,0
1252,"[[27, 120, 27, 214, 85, 214, 85, 120]]",5452,0,1654,"[27, 120, 58, 94]",15,1253,0
1253,"[[1, 81, 1, 161, 29, 161, 29, 81]]",2240,0,1654,"[1, 81, 28, 80]",15,1254,1
1254,"[[116, 130, 116, 259, 167, 259, 167, 130]]",6579,0,1654,"[116, 130, 51, 129]",15,1255,0
1255,"[[334, 45, 334, 58, 364, 58, 364, 45]]",390,0,1654,"[334, 45, 30, 13]",7,1256,1
1256,"[[357, 42, 357, 57, 382, 57, 382, 42]]",375,0,1654,"[357, 42, 25, 15]",7,1257,1
1257,"[[378, 38, 378, 50, 400, 50, 400, 38]]",264,0,1654,"[378, 38, 22, 12]",7,1258,1
1258,"[[106, 198, 106, 374, 330, 374, 330, 198]]",39424,0,1661,"[106, 198, 224, 176]",17,1259,0
1259,"[[10, 105, 10, 269, 482, 269, 482, 105]]",77408,0,1662,"[10, 105, 472, 164]",7,1260,0
1260,"[[20, 74, 20, 337, 364, 337, 364, 74]]",90472,0,1669,"[20, 74, 344, 263]",8,1261,0
1261,"[[35, 109, 35, 319, 440, 319, 440, 109]]",85050,0,1673,"[35, 109, 405, 210]",8,1262,0
1262,"[[417, 0, 417, 131, 482, 131, 482, 0]]",8515,0,1673,"[417, 0, 65, 131]",5,1263,0
1263,"[[29, 37, 29, 219, 483, 219, 483, 37]]",82628,0,1676,"[29, 37, 454, 182]",7,1264,0
1264,"[[90, 103, 90, 500, 331, 500, 331, 103]]",95677,0,1680,"[90, 103, 241, 397]",12,1265,0
1265,"[[363, 206, 363, 284, 403, 284, 403, 206]]",3120,0,1683,"[363, 206, 40, 78]",9,1266,0
1266,"[[322, 205, 322, 280, 362, 280, 362, 205]]",3000,0,1683,"[322, 205, 40, 75]",9,1267,0
1267,"[[284, 205, 284, 287, 323, 287, 323, 205]]",3198,0,1683,"[284, 205, 39, 82]",9,1268,0
1268,"[[243, 207, 243, 289, 288, 289, 288, 207]]",3690,0,1683,"[243, 207, 45, 82]",9,1269,0
1269,"[[223, 212, 223, 279, 430, 279, 430, 212]]",13869,0,1683,"[223, 212, 207, 67]",11,1270,0
1270,"[[391, 199, 391, 279, 431, 279, 431, 199]]",3200,0,1683,"[391, 199, 40, 80]",9,1271,0
1271,"[[16, 5, 16, 422, 465, 422, 465, 5]]",187233,0,1684,"[16, 5, 449, 417]",3,1272,0
1272,"[[60, 10, 60, 373, 415, 373, 415, 10]]",128865,0,1688,"[60, 10, 355, 363]",14,1273,0
1273,"[[332, 54, 332, 286, 405, 286, 405, 54]]",16936,0,1690,"[332, 54, 73, 232]",15,1274,0
1274,"[[39, 100, 39, 292, 182, 292, 182, 100]]",27456,0,1690,"[39, 100, 143, 192]",13,1275,0
1275,"[[42, 55, 42, 332, 424, 332, 424, 55]]",105814,0,1699,"[42, 55, 382, 277]",13,1276,0
1276,"[[1, 114, 1, 182, 57, 182, 57, 114]]",3808,0,1699,"[1, 114, 56, 68]",7,1277,0
1277,"[[9, 129, 9, 499, 378, 499, 378, 129]]",136530,0,1707,"[9, 129, 369, 370]",3,1278,0
1278,"[[5, 92, 5, 245, 498, 245, 498, 92]]",75429,0,1708,"[5, 92, 493, 153]",1,1279,0
1279,"[[428, 159, 428, 359, 500, 359, 500, 159]]",14400,0,1711,"[428, 159, 72, 200]",13,1280,1
1280,"[[311, 0, 311, 153, 430, 153, 430, 0]]",18207,0,1711,"[311, 0, 119, 153]",15,1281,0
1281,"[[2, 0, 2, 209, 41, 209, 41, 0]]",8151,0,1711,"[2, 0, 39, 209]",15,1282,0
1282,"[[34, 0, 34, 89, 72, 89, 72, 0]]",3382,0,1711,"[34, 0, 38, 89]",15,1283,0
1283,"[[417, 169, 417, 218, 447, 218, 447, 169]]",1470,0,1711,"[417, 169, 30, 49]",15,1284,0
1284,"[[410, 173, 410, 194, 428, 194, 428, 173]]",378,0,1711,"[410, 173, 18, 21]",15,1285,0
1285,"[[388, 180, 388, 228, 424, 228, 424, 180]]",1728,0,1711,"[388, 180, 36, 48]",15,1286,0
1286,"[[215, 116, 215, 165, 250, 165, 250, 116]]",1715,0,1711,"[215, 116, 35, 49]",15,1287,0
1287,"[[34, 63, 34, 356, 479, 356, 479, 63]]",130385,0,1713,"[34, 63, 445, 293]",10,1288,0
1288,"[[126, 301, 126, 357, 208, 357, 208, 301]]",4592,0,1714,"[126, 301, 82, 56]",17,1289,0
1289,"[[0, 110, 0, 169, 58, 169, 58, 110]]",3422,0,1717,"[0, 110, 58, 59]",20,1290,0
1290,"[[370, 159, 370, 404, 476, 404, 476, 159]]",25970,0,1717,"[370, 159, 106, 245]",15,1291,0
1291,"[[226, 98, 226, 404, 365, 404, 365, 98]]",42534,0,1717,"[226, 98, 139, 306]",15,1292,0
1292,"[[145, 206, 145, 366, 263, 366, 263, 206]]",18880,0,1717,"[145, 206, 118, 160]",9,1293,0
1293,"[[228, 168, 228, 341, 383, 341, 383, 168]]",26815,0,1721,"[228, 168, 155, 173]",15,1294,0
1294,"[[228, 192, 228, 324, 309, 324, 309, 192]]",10692,0,1721,"[228, 192, 81, 132]",15,1295,0
1295,"[[408, 223, 408, 309, 499, 309, 499, 223]]",7826,0,1721,"[408, 223, 91, 86]",15,1296,1
1296,"[[370, 222, 370, 273, 401, 273, 401, 222]]",1581,0,1721,"[370, 222, 31, 51]",15,1297,0
1297,"[[473, 230, 473, 243, 497, 243, 497, 230]]",312,0,1721,"[473, 230, 24, 13]",15,1298,1
1298,"[[81, 191, 81, 476, 308, 476, 308, 191]]",64695,0,1723,"[81, 191, 227, 285]",14,1299,0
1299,"[[77, 10, 77, 372, 309, 372, 309, 10]]",83984,0,1723,"[77, 10, 232, 362]",15,1300,0
1300,"[[1, 0, 1, 163, 128, 163, 128, 0]]",20701,0,1729,"[1, 0, 127, 163]",18,1301,1
1301,"[[118, 3, 118, 96, 217, 96, 217, 3]]",9207,0,1729,"[118, 3, 99, 93]",16,1302,0
1302,"[[283, 106, 283, 280, 411, 280, 411, 106]]",22272,0,1729,"[283, 106, 128, 174]",15,1303,0
1303,"[[125, 82, 125, 285, 257, 285, 257, 82]]",26796,0,1729,"[125, 82, 132, 203]",15,1304,0
1304,"[[8, 166, 8, 333, 160, 333, 160, 166]]",25384,0,1729,"[8, 166, 152, 167]",15,1305,0
1305,"[[370, 62, 370, 332, 500, 332, 500, 62]]",35100,0,1729,"[370, 62, 130, 270]",9,1306,0
1306,"[[32, 170, 32, 225, 118, 225, 118, 170]]",4730,0,1732,"[32, 170, 86, 55]",4,1307,0
1307,"[[171, 142, 171, 189, 242, 189, 242, 142]]",3337,0,1732,"[171, 142, 71, 47]",4,1308,0
1308,"[[224, 139, 224, 160, 259, 160, 259, 139]]",735,0,1732,"[224, 139, 35, 21]",4,1309,1
1309,"[[251, 120, 251, 142, 297, 142, 297, 120]]",1012,0,1732,"[251, 120, 46, 22]",4,1310,1
1310,"[[253, 104, 253, 131, 319, 131, 319, 104]]",1782,0,1732,"[253, 104, 66, 27]",4,1311,1
1311,"[[290, 91, 290, 118, 340, 118, 340, 91]]",1350,0,1732,"[290, 91, 50, 27]",4,1312,1
1312,"[[326, 122, 326, 159, 380, 159, 380, 122]]",1998,0,1732,"[326, 122, 54, 37]",4,1313,0
1313,"[[368, 149, 368, 196, 442, 196, 442, 149]]",3478,0,1732,"[368, 149, 74, 47]",4,1314,0
1314,"[[347, 190, 347, 289, 444, 289, 444, 190]]",9603,0,1732,"[347, 190, 97, 99]",4,1315,0
1315,"[[0, 269, 0, 329, 82, 329, 82, 269]]",4920,0,1733,"[0, 269, 82, 60]",17,1316,0
1316,"[[235, 274, 235, 326, 294, 326, 294, 274]]",3068,0,1733,"[235, 274, 59, 52]",17,1317,0
1317,"[[179, 274, 179, 365, 235, 365, 235, 274]]",5096,0,1733,"[179, 274, 56, 91]",17,1318,0
1318,"[[131, 260, 131, 287, 167, 287, 167, 260]]",972,0,1733,"[131, 260, 36, 27]",17,1319,1
1319,"[[103, 251, 103, 269, 116, 269, 116, 251]]",234,0,1733,"[103, 251, 13, 18]",17,1320,1
1320,"[[55, 253, 55, 275, 82, 275, 82, 253]]",594,0,1733,"[55, 253, 27, 22]",17,1321,1
1321,"[[22, 262, 22, 274, 42, 274, 42, 262]]",240,0,1733,"[22, 262, 20, 12]",17,1322,1
1322,"[[7, 253, 7, 271, 25, 271, 25, 253]]",324,0,1733,"[7, 253, 18, 18]",17,1323,1
1323,"[[29, 255, 29, 269, 45, 269, 45, 255]]",224,0,1733,"[29, 255, 16, 14]",17,1324,1
1324,"[[202, 255, 202, 267, 215, 267, 215, 255]]",156,0,1733,"[202, 255, 13, 12]",17,1325,1
1325,"[[164, 259, 164, 281, 183, 281, 183, 259]]",418,0,1733,"[164, 259, 19, 22]",17,1326,1
1326,"[[216, 258, 216, 266, 231, 266, 231, 258]]",120,0,1733,"[216, 258, 15, 8]",17,1327,1
1327,"[[254, 263, 254, 278, 270, 278, 270, 263]]",240,0,1733,"[254, 263, 16, 15]",17,1328,1
1328,"[[269, 265, 269, 276, 287, 276, 287, 265]]",198,0,1733,"[269, 265, 18, 11]",17,1329,1
1329,"[[360, 263, 360, 276, 376, 276, 376, 263]]",208,0,1733,"[360, 263, 16, 13]",17,1330,1
1330,"[[337, 261, 337, 272, 351, 272, 351, 261]]",154,0,1733,"[337, 261, 14, 11]",17,1331,1
1331,"[[323, 261, 323, 274, 342, 274, 342, 261]]",247,0,1733,"[323, 261, 19, 13]",17,1332,1
1332,"[[311, 259, 311, 274, 323, 274, 323, 259]]",180,0,1733,"[311, 259, 12, 15]",17,1333,1
1333,"[[296, 258, 296, 274, 312, 274, 312, 258]]",256,0,1733,"[296, 258, 16, 16]",17,1334,1
1334,"[[99, 83, 99, 313, 441, 313, 441, 83]]",78660,0,1734,"[99, 83, 342, 230]",17,1335,0
1335,"[[124, 67, 124, 300, 323, 300, 323, 67]]",46367,0,1738,"[124, 67, 199, 233]",12,1336,0
1336,"[[148, 177, 148, 317, 214, 317, 214, 177]]",9240,0,1739,"[148, 177, 66, 140]",3,1337,0
1337,"[[0, 110, 0, 251, 115, 251, 115, 110]]",16215,0,1741,"[0, 110, 115, 141]",10,1338,0
1338,"[[331, 132, 331, 156, 375, 156, 375, 132]]",1056,0,1741,"[331, 132, 44, 24]",10,1339,0
1339,"[[249, 70, 249, 134, 335, 134, 335, 70]]",5504,0,1750,"[249, 70, 86, 64]",17,1340,0
1340,"[[173, 87, 173, 157, 252, 157, 252, 87]]",5530,0,1750,"[173, 87, 79, 70]",17,1341,0
1341,"[[106, 30, 106, 100, 155, 100, 155, 30]]",3430,0,1750,"[106, 30, 49, 70]",17,1342,0
1342,"[[401, 15, 401, 53, 464, 53, 464, 15]]",2394,0,1750,"[401, 15, 63, 38]",17,1343,0
1343,"[[255, 184, 255, 249, 344, 249, 344, 184]]",5785,0,1750,"[255, 184, 89, 65]",17,1344,0
1344,"[[171, 187, 171, 249, 256, 249, 256, 187]]",5270,0,1750,"[171, 187, 85, 62]",17,1345,0
1345,"[[339, 218, 339, 272, 405, 272, 405, 218]]",3564,0,1750,"[339, 218, 66, 54]",17,1346,0
1346,"[[403, 220, 403, 277, 467, 277, 467, 220]]",3648,0,1750,"[403, 220, 64, 57]",17,1347,0
1347,"[[114, 210, 114, 273, 157, 273, 157, 210]]",2709,0,1750,"[114, 210, 43, 63]",17,1348,0
1348,"[[2, 3, 2, 500, 375, 500, 375, 3]]",185381,0,1752,"[2, 3, 373, 497]",20,1349,0
1349,"[[219, 303, 219, 486, 277, 486, 277, 303]]",10614,0,1754,"[219, 303, 58, 183]",5,1350,0
1350,"[[14, 53, 14, 494, 275, 494, 275, 53]]",115101,0,1754,"[14, 53, 261, 441]",15,1351,0
1351,"[[280, 145, 280, 394, 374, 394, 374, 145]]",23406,0,1754,"[280, 145, 94, 249]",15,1352,1
1352,"[[3, 131, 3, 174, 55, 174, 55, 131]]",2236,0,1754,"[3, 131, 52, 43]",16,1353,0
1353,"[[202, 226, 202, 375, 282, 375, 282, 226]]",11920,0,1758,"[202, 226, 80, 149]",12,1354,1
1354,"[[3, 107, 3, 500, 232, 500, 232, 107]]",89997,0,1758,"[3, 107, 229, 393]",15,1355,0
1355,"[[1, 152, 1, 375, 197, 375, 197, 152]]",43708,0,1759,"[1, 152, 196, 223]",12,1356,0
1356,"[[159, 113, 159, 375, 366, 375, 366, 113]]",54234,0,1759,"[159, 113, 207, 262]",15,1357,0
1357,"[[297, 1, 297, 375, 500, 375, 500, 1]]",75922,0,1759,"[297, 1, 203, 374]",15,1358,0
1358,"[[0, 2, 0, 181, 300, 181, 300, 2]]",53700,0,1759,"[0, 2, 300, 179]",15,1359,0
1359,"[[26, 86, 26, 273, 500, 273, 500, 86]]",88638,0,1761,"[26, 86, 474, 187]",1,1360,0
1360,"[[74, 6, 74, 353, 387, 353, 387, 6]]",108611,0,1765,"[74, 6, 313, 347]",14,1361,0
1361,"[[393, 27, 393, 98, 422, 98, 422, 27]]",2059,0,1766,"[393, 27, 29, 71]",15,1362,0
1362,"[[360, 7, 360, 91, 381, 91, 381, 7]]",1764,0,1766,"[360, 7, 21, 84]",15,1363,0
1363,"[[341, 7, 341, 85, 362, 85, 362, 7]]",1638,0,1766,"[341, 7, 21, 78]",15,1364,0
1364,"[[277, 1, 277, 70, 308, 70, 308, 1]]",2139,0,1766,"[277, 1, 31, 69]",15,1365,0
1365,"[[249, 0, 249, 58, 271, 58, 271, 0]]",1276,0,1766,"[249, 0, 22, 58]",15,1366,1
1366,"[[116, 71, 116, 177, 188, 177, 188, 71]]",7632,0,1766,"[116, 71, 72, 106]",15,1367,0
1367,"[[221, 83, 221, 173, 270, 173, 270, 83]]",4410,0,1766,"[221, 83, 49, 90]",15,1368,0
1368,"[[26, 239, 26, 329, 99, 329, 99, 239]]",6570,0,1766,"[26, 239, 73, 90]",15,1369,0
1369,"[[55, 308, 55, 375, 126, 375, 126, 308]]",4757,0,1766,"[55, 308, 71, 67]",15,1370,0
1370,"[[180, 100, 180, 288, 337, 288, 337, 100]]",29516,0,1766,"[180, 100, 157, 188]",13,1371,0
1371,"[[110, 86, 110, 259, 213, 259, 213, 86]]",17819,0,1766,"[110, 86, 103, 173]",13,1372,0
1372,"[[0, 238, 0, 375, 216, 375, 216, 238]]",29592,0,1766,"[0, 238, 216, 137]",13,1373,0
1373,"[[120, 299, 120, 375, 227, 375, 227, 299]]",8132,0,1766,"[120, 299, 107, 76]",13,1374,0
1374,"[[0, 62, 0, 344, 261, 344, 261, 62]]",73602,0,1768,"[0, 62, 261, 282]",8,1375,0
1375,"[[394, 45, 394, 198, 443, 198, 443, 45]]",7497,0,1777,"[394, 45, 49, 153]",5,1376,0
1376,"[[429, 56, 429, 171, 500, 171, 500, 56]]",8165,0,1777,"[429, 56, 71, 115]",9,1377,1
1377,"[[63, 57, 63, 119, 174, 119, 174, 57]]",6882,0,1777,"[63, 57, 111, 62]",9,1378,1
1378,"[[4, 98, 4, 334, 497, 334, 497, 98]]",116348,0,1777,"[4, 98, 493, 236]",11,1379,0
1379,"[[162, 21, 162, 113, 309, 113, 309, 21]]",13524,0,1777,"[162, 21, 147, 92]",9,1380,1
1380,"[[92, 0, 92, 60, 194, 60, 194, 0]]",6120,0,1777,"[92, 0, 102, 60]",16,1381,1
1381,"[[397, 113, 397, 219, 434, 219, 434, 113]]",3922,0,1777,"[397, 113, 37, 106]",5,1382,0
1382,"[[151, 74, 151, 255, 395, 255, 395, 74]]",44164,0,1780,"[151, 74, 244, 181]",14,1383,0
1383,"[[231, 2, 231, 165, 500, 165, 500, 2]]",43847,0,1780,"[231, 2, 269, 163]",7,1384,0
1384,"[[0, 25, 0, 166, 119, 166, 119, 25]]",16779,0,1780,"[0, 25, 119, 141]",7,1385,0
1385,"[[0, 0, 0, 61, 160, 61, 160, 0]]",9760,0,1780,"[0, 0, 160, 61]",7,1386,1
1386,"[[254, 0, 254, 29, 357, 29, 357, 0]]",2987,0,1780,"[254, 0, 103, 29]",7,1387,1
1387,"[[146, 100, 146, 347, 277, 347, 277, 100]]",32357,0,1787,"[146, 100, 131, 247]",3,1388,0
1388,"[[0, 83, 0, 288, 159, 288, 159, 83]]",32595,0,1789,"[0, 83, 159, 205]",19,1389,0
1389,"[[196, 97, 196, 256, 323, 256, 323, 97]]",20193,0,1789,"[196, 97, 127, 159]",19,1390,0
1390,"[[362, 72, 362, 260, 500, 260, 500, 72]]",25944,0,1789,"[362, 72, 138, 188]",19,1391,0
1391,"[[358, 205, 358, 278, 386, 278, 386, 205]]",2044,0,1789,"[358, 205, 28, 73]",15,1392,0
1392,"[[356, 233, 356, 375, 477, 375, 477, 233]]",17182,0,1789,"[356, 233, 121, 142]",15,1393,0
1393,"[[1, 180, 1, 499, 372, 499, 372, 180]]",118349,0,1800,"[1, 180, 371, 319]",18,1394,1
1394,"[[83, 71, 83, 371, 242, 371, 242, 71]]",47700,0,1800,"[83, 71, 159, 300]",15,1395,0
1395,"[[273, 191, 273, 361, 328, 361, 328, 191]]",9350,0,1806,"[273, 191, 55, 170]",10,1396,0
1396,"[[113, 265, 113, 376, 180, 376, 180, 265]]",7437,0,1806,"[113, 265, 67, 111]",10,1397,0
1397,"[[59, 212, 59, 382, 162, 382, 162, 212]]",17510,0,1806,"[59, 212, 103, 170]",15,1398,0
1398,"[[116, 156, 116, 375, 209, 375, 209, 156]]",20367,0,1806,"[116, 156, 93, 219]",15,1399,0
1399,"[[8, 251, 8, 367, 85, 367, 85, 251]]",8932,0,1809,"[8, 251, 77, 116]",20,1400,0
1400,"[[18, 272, 18, 341, 78, 341, 78, 272]]",4140,0,1809,"[18, 272, 60, 69]",15,1401,0
1401,"[[329, 251, 329, 461, 431, 461, 431, 251]]",21420,0,1809,"[329, 251, 102, 210]",18,1402,1
1402,"[[260, 169, 260, 268, 364, 268, 364, 169]]",10296,0,1810,"[260, 169, 104, 99]",20,1403,0
1403,"[[0, 50, 0, 375, 236, 375, 236, 50]]",76700,0,1810,"[0, 50, 236, 325]",15,1404,0
1404,"[[91, 124, 91, 248, 362, 248, 362, 124]]",33604,0,1821,"[91, 124, 271, 124]",7,1405,0
1405,"[[4, 59, 4, 113, 53, 113, 53, 59]]",2646,0,1821,"[4, 59, 49, 54]",7,1406,1
1406,"[[0, 38, 0, 300, 403, 300, 403, 38]]",105586,0,1825,"[0, 38, 403, 262]",8,1407,0
1407,"[[0, 2, 0, 372, 500, 372, 500, 2]]",185000,0,1825,"[0, 2, 500, 370]",12,1408,1
1408,"[[34, 0, 34, 238, 304, 238, 304, 0]]",64260,0,1828,"[34, 0, 270, 238]",9,1409,0
1409,"[[1, 32, 1, 445, 289, 445, 289, 32]]",118944,0,1828,"[1, 32, 288, 413]",15,1410,0
1410,"[[37, 122, 37, 440, 298, 440, 298, 122]]",82998,0,1828,"[37, 122, 261, 318]",15,1411,0
1411,"[[0, 0, 0, 375, 500, 375, 500, 0]]",187500,0,1832,"[0, 0, 500, 375]",15,1412,0
1412,"[[0, 77, 0, 375, 416, 375, 416, 77]]",123968,0,1832,"[0, 77, 416, 298]",12,1413,0
1413,"[[45, 38, 45, 304, 456, 304, 456, 38]]",109326,0,1834,"[45, 38, 411, 266]",11,1414,0
1414,"[[1, 80, 1, 375, 462, 375, 462, 80]]",135995,0,1836,"[1, 80, 461, 295]",18,1415,0
1415,"[[56, 77, 56, 365, 320, 365, 320, 77]]",76032,0,1836,"[56, 77, 264, 288]",15,1416,0
1416,"[[127, 173, 127, 296, 321, 296, 321, 173]]",23862,0,1840,"[127, 173, 194, 123]",8,1417,0
1417,"[[1, 219, 1, 500, 278, 500, 278, 219]]",77837,0,1841,"[1, 219, 277, 281]",15,1418,0
1418,"[[298, 184, 298, 276, 323, 276, 323, 184]]",2300,0,1843,"[298, 184, 25, 92]",5,1419,0
1419,"[[251, 34, 251, 375, 445, 375, 445, 34]]",66154,0,1843,"[251, 34, 194, 341]",15,1420,0
1420,"[[61, 16, 61, 375, 273, 375, 273, 16]]",76108,0,1843,"[61, 16, 212, 359]",15,1421,0
1421,"[[26, 176, 26, 343, 230, 343, 230, 176]]",34068,0,1845,"[26, 176, 204, 167]",7,1422,0
1422,"[[2, 193, 2, 266, 37, 266, 37, 193]]",2555,0,1845,"[2, 193, 35, 73]",7,1423,0
1423,"[[201, 62, 201, 286, 343, 286, 343, 62]]",31808,0,1853,"[201, 62, 142, 224]",3,1424,0
1424,"[[47, 330, 47, 499, 332, 499, 332, 330]]",48165,0,1854,"[47, 330, 285, 169]",14,1425,1
1425,"[[51, 37, 51, 499, 277, 499, 277, 37]]",104412,0,1854,"[51, 37, 226, 462]",15,1426,0
1426,"[[16, 98, 16, 216, 475, 216, 475, 98]]",54162,0,1858,"[16, 98, 459, 118]",1,1427,0
1427,"[[7, 189, 7, 363, 457, 363, 457, 189]]",78300,0,1861,"[7, 189, 450, 174]",2,1428,0
1428,"[[65, 8, 65, 363, 484, 363, 484, 8]]",148745,0,1861,"[65, 8, 419, 355]",15,1429,0
1429,"[[402, 213, 402, 333, 500, 333, 500, 213]]",11760,0,1864,"[402, 213, 98, 120]",9,1430,0
1430,"[[217, 59, 217, 375, 381, 375, 381, 59]]",51824,0,1864,"[217, 59, 164, 316]",15,1431,0
1431,"[[90, 82, 90, 375, 216, 375, 216, 82]]",36918,0,1864,"[90, 82, 126, 293]",15,1432,0
1432,"[[60, 54, 60, 375, 249, 375, 249, 54]]",60669,0,1864,"[60, 54, 189, 321]",15,1433,0
1433,"[[3, 15, 3, 400, 400, 400, 400, 15]]",152845,0,1870,"[3, 15, 397, 385]",1,1434,0
1434,"[[61, 76, 61, 357, 456, 357, 456, 76]]",110995,0,1881,"[61, 76, 395, 281]",7,1435,0
1435,"[[0, 76, 0, 203, 117, 203, 117, 76]]",14859,0,1881,"[0, 76, 117, 127]",7,1436,0
1436,"[[118, 74, 118, 120, 198, 120, 198, 74]]",3680,0,1881,"[118, 74, 80, 46]",7,1437,1
1437,"[[380, 75, 380, 120, 495, 120, 495, 75]]",5175,0,1881,"[380, 75, 115, 45]",7,1438,0
1438,"[[208, 35, 208, 75, 249, 75, 249, 35]]",1640,0,1881,"[208, 35, 41, 40]",15,1439,1
1439,"[[265, 36, 265, 75, 299, 75, 299, 36]]",1326,0,1881,"[265, 36, 34, 39]",15,1440,1
1440,"[[3, 2, 3, 373, 500, 373, 500, 2]]",184387,0,1892,"[3, 2, 497, 371]",6,1441,0
1441,"[[1, 1, 1, 375, 238, 375, 238, 1]]",88638,0,1894,"[1, 1, 237, 374]",15,1442,0
1442,"[[210, 1, 210, 375, 500, 375, 500, 1]]",108460,0,1894,"[210, 1, 290, 374]",13,1443,0
1443,"[[279, 58, 279, 371, 422, 371, 422, 58]]",44759,0,1896,"[279, 58, 143, 313]",3,1444,0
1444,"[[0, 222, 0, 343, 47, 343, 47, 222]]",5687,0,1898,"[0, 222, 47, 121]",20,1445,1
1445,"[[0, 100, 0, 171, 58, 171, 58, 100]]",4118,0,1898,"[0, 100, 58, 71]",16,1446,0
1446,"[[68, 105, 68, 178, 140, 178, 140, 105]]",5256,0,1898,"[68, 105, 72, 73]",16,1447,0
1447,"[[255, 146, 255, 274, 500, 274, 500, 146]]",31360,0,1902,"[255, 146, 245, 128]",6,1448,0
1448,"[[340, 206, 340, 375, 500, 375, 500, 206]]",27040,0,1902,"[340, 206, 160, 169]",7,1449,0
1449,"[[195, 223, 195, 251, 233, 251, 233, 223]]",1064,0,1902,"[195, 223, 38, 28]",7,1450,0
1450,"[[175, 223, 175, 241, 196, 241, 196, 223]]",378,0,1902,"[175, 223, 21, 18]",7,1451,1
1451,"[[138, 222, 138, 266, 150, 266, 150, 222]]",528,0,1902,"[138, 222, 12, 44]",15,1452,0
